Approvato,Data,Ora,Breve descrizione delle necessità,Elenco completo dei fabbisogni,Indirizzo,Località,Comune,Fonte ,Link,latitude,longitude,ID
,2016/08/29,16:04,"CHIAMATA VOLONTARI. Brigate di Solidarietà Attiva portano cibo, vestiario, prodotti per l'igiene, ascoltano e hanno bisogno di volontari.
 ","Chiunque voglia unirsi al corpo volontari può comunicarlo alla seguente mail: volontaribsa@gmail.com, indicando:
- Nome e Cognome
- Numero di telefono
- Conferma maggiore età 
- Giorni di disponibilità (Per una migliore gestione dei turni dei volontari, si richiedono disponibilità della durata minima di 4-7 giorni.)
- Se si è auto-muniti 
- Competenze e professionalità particolari (idraulici, elettricisti, cuochi/e ect).
- Se si è più di una persona, indicare riferimenti e ogni altra indicazione richiesta per ogni componente del gruppo.
",,"Acquasanta, Amatrice e le frazioni limitrofe",,Gruppo FB,https://www.facebook.com/terremotocentroitalia/posts/1358936524136360,,,20160829
,2016/08/29,17:24,azienda agruturismo La Casa Rosa a Colleverrico di Montereale: cercano scatoloni grandi e possibilmente un container dove mettere le cose perché devono sgombrare la casa.,,"La Casa Rosa

indirizzo:
Loc. Colle Verrico

telefono:0862902339",Colle Verrico,montereale (AQ),,https://www.facebook.com/groups/1758670357733881/permalink/1761317044135879/,,,20160829
,2016/08/29,17:30,"Qualcuno che aiuti a smontare e montare casetta in legno da donare ad una famiglia di terremotati. Euro Barelli, 348 3551898","- qualcuno che aiuti a montare e smontare la casetta
- per completarla servirebbe una pompa di calore in vista dei prossimi freddi inverni",,,,Pagina FB,https://www.facebook.com/FotostudioImmagini/photos/a.672491909433503.1073741827.516121571737205/1437778999571453/?type=3&theater,,,20160829
,2016/08/28,10:22,"Locanda Cardito, punto di appoggio preziosissimo per chiunque sta fra Amatrice e Campotosto,  per info contattare armando: 345-1629957 ",si cerca urgentemente 1 roulotte con due posti per portare avanti l'attività locanda che in questi giorni è frenetica.,,"Amatrice
Campotosto",amatrice,Christian Quintili,https://www.facebook.com/groups/1758670357733881/permalink/1760699620864288/,42.589841,13.292871,20160828
,2016/08/28,20:00,Abbiamo bisogno di una tenda in grado di ospitare due persone di una certa età comunque autosufficienti. ,All'interno devono entrare due lettini. La famiglia si trova a Cittareale: l'abitazione ha subito importanti lesioni. Fate riferimento come sempre alla sede dell'Acli.,,Cittareale,,associazione alcli onlus http://www.alcli.it/,https://www.facebook.com/permalink.php?story_fbid=1061600453917868&id=1059413510803229,,,20160828
,2016/08/27,17:57,"Oggi sono URGENTI MUTANDE, CALZINI, REGGISENI e MAGLIETTE/CANOTTIERE INTIME. ","Il tutto di varie taglie, soprattutto medio grandi per uomini, donne e bambini di ambo i sessi.  Ovviamente l'intimo va rigorosamente consegnato nuovo per una questione di igiene.",,Campo protezione civile ,Amatrice ,"Gruppo FB (condiviso da Daniela Tassinari) Marcella Mangano: 
Presidente del V.V.A.A. di Guidonia, la protezione civile di Via Lago dei Tartari. ",https://www.facebook.com/daniela.tassinari.3/posts/10210515585996963?pnref=story,42.627772,13.292871,20160827
,2016/08/27,18:20,Servono psicologi volontari da Roma,Disponibilità da inizio settembre per interventi nei campi di accoglienza. Telefonare a Claudia 349.2601313,,,Roma,Associazione 3e32,,,,20160827
,2016/08/27,18:22,Tende e sacchi a pelo per frazioni intorno ad Amatrice,"URGENTE - Occorrono tende e sacchi a pelo per le frazioni intorno ad Amatrice. Chi ne ha me li può portare tra oggi e domani per quanto riguarda Roma, sennò a Città Reale dal militare che si sta occupando della distribuzione.",,Roma o Città Reale,Amatrice,,https://www.facebook.com/groups/1758670357733881/permalink/1760332610900989/,,,20160827
,2016/08/27,22:10,Tende e Roulottes,"In questo momento alle famiglie colpite nella zona del sisma, agli allevatori e alla gente di cavalli servono tende e roulottes: vi preghiamo, se ne aveste una che potete mettere a disposizione, di farcelo sapere. ",,,,CavalloMagazine,http://www.cavallomagazine.it/amatrice-servono-roulottes-per-stare-vicino-a-case-e-cavalli-1.2460099,,,20160827
,2016/08/27,17:00,A Capricchia (Amatrice) servono tende invernali,"frazione danneggiata con case inagibili ma senza crollo ne' feriti. 
Presenza di tende estive, ma sono in zone vicine ai palazzi danneggiati e a rischio crollo. 
Necessità:
1) spostare le tende dalle zone in cui sono state messe ora
2) tende invernali",,Capricchia,Amatrice,Messaggio telegram,,42.6226,13.3402,20160827
,2016/08/27,10:19,Servono scatole di cartone e volontari per stoccaggio a Rieti,Al Palacordoni di Rieti servono urgentemente volontari per lo stoccaggio. Chi può porti anche scatoloni.,Palazzetto Palacordoni,"Viale Eugenio Guarniero Duprè Thesèider, 101",Rieti,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1760302424237341/,,,20160827
,2016/08/27,8:24,Richiesta di specifici oggetti di conforto e di prima necessità dal Campo di Arquata ,"Una delegazione di ORA (Organizzazione Ragazzi di Ancona) in visita al campo di Arquata ha ricevuto dagli operatori le seguenti richieste specifiche: detersivi, cuscini, protezione solare, creme idratanti, coperte in ottimo stato, giochi da tavola, carte, guanti in lattice e vinile, stufette elettriche, asciugacapelli, torce elettriche, batterie, sacchi a pelo, borse di acqua calda (anche elettriche), mollette da bucato, stendino, bacinella. Il punto di raccolta aprirà alle 17 allo Spazio comune Heval, in via Macerata 22, Ancona.","Via Macerata 22, Spazio Comune Heval",Ancona,Ancona,Gruppo FB,https://www.facebook.com/orasiriparte/,,,20160827
,2016/08/27,16:38,"Richiesta di indumenti intimi
","oggi sono URGENTI gli indumenti meno pensabili e cioè MUTANDE, CALZINI, REGGISENI e MAGLIETTE/CANOTTIERE INTIME. Il tutto di varie taglie, soprattutto medio grandi per uomini, donne e bambini di ambo i sessi. Ovviamente l'intimo va rigorosamente consegnato nuovo per una questione di igiene.",,Amatrice,Amatrice,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1760343367566580/,,,20160827
,2016/08/27,16:46,"Campo autogestito di Capricchia segnalano la necessità di un gruppo elettrogeno, in quanto è stata staccata la corrente",Amatrice: GRUPPO ELETTROGENO,LAT.42.622598 - LON. 13.340167,,Rieti,Gruppo FB,,,,20160827
,2016/08/27,17:04,Ad Accumoli servono farmaci specifici.,"Accumoli: insulina, cardioaspirine, betabloccanti, misuratori di pressione",,,Rieti,Gruppo FB,http://m.nuovavenezia.gelocal.it/video/dossier/terremoto-24-agosto-2016/accumoli-emergenza-farmaci-mandateci-insulina-cardioaspirine-betabloccanti/60093/60398?ref=hfnvveev1-1,,,20160827
,2016/08/27,22:49,REPORT BISOGNI E SITUAZIONE FRAZIONI MONTEREALE (AQ) ,,,,,gruppo facebook,https://www.facebook.com/groups/1758670357733881/permalink/1760441617556755/,,,20160827
,2016/08/27,23:18,"LA REGIONE LAZIO per l'emergenza Sisma, raccoglie disponibilità di collaborazione volontaria di persone specializzate che siano disponibili ad andare sui luoghi del disastro per dare una mano nel ristabilire il prima possibile la vita in quei paesi. Non c'è stato un appello preciso ma le candidature via email possono essere comunque inviate.","
SERVONO:
INGEGNERI
ELETTRICISTI
IDRAULICI
FABBRI
TECNICI E ARTIGIANI
basta dare la disponibilità scrivendo alla mail creata appositamente
","sismarieti@regione.lazio.it
in oggetto scrivete SISMA RIETI
Per informazioni ulteriori ci sono i numeri 803555 e 800840840 della regione lazio che sono attivi h24.",,,gruppo facebook,https://www.facebook.com/groups/1758670357733881/permalink/1760475310886719/,,,20160827
,2016/08/27,0:04,Disaster Tech Lab invierà un team di esperti in tecnologia e informatica ad Amatrice e cerca volontari italiani da aggiungere al team.,"Si cercano volontari per attività tecnico-informatica, inviare candidature scrivere a contact@disastertechlab.org",,Amatrice,Amatrice,Account Twitter Disaster Tech Lab,https://twitter.com/DisasterTechLab/status/769110337375305728,42.627772,13.292871,20160827
,2016/08/26,22:40,Da Amatrice appello a bikers ed enduristi,Servono moto e motociclisti esperti per portare medicine e viveri a chi vive nelle aree più isolate e non raggiungibili da automezzi,,,Amatrice,Giornale della Protezione civile,http://www.ilgiornaledellaprotezionecivile.it/dal-territorio/amatrice-appello-a-bikers-ed-enduristi-aiutateci-a-raggiungere-le-zone-isolate,42.627772,13.292871,20160826
,2016/08/26,23:45,Celle frigorifere,"Servono celle frigorifere per il mantenimento degli alimenti, verdura, frutta e carne di manzo e pollo.",,Amatrice,Amatrice,Nucleo Volontari Emergenza,http://www.nveprotezionecivile.it/?p=152,42.627772,13.292871,20160826
,2016/08/26,22:30,Carburante,Ad Amatrice serve del carburante.,,,,,,42.627772,13.292871,20160826
,2016/08/26,,volontari per iniziative a sostegno dei bambini e dei ragazzi coinvolti dal sisma (associazioni e professionisti),"L'Assessorato alle politiche socio sanitarie del Comune di Rieti, attraverso l’equipe di Rieti città amica dei bambini sta attivando un coordinamento, mediante il quale verranno programmati e gestiti in accordo con i referenti territoriali,in collaborazione con esperti in pedagogia dell’emergenza dell’Università dell’aquila, coordinati dal prof. Alessandro Vaccarelli. Al fine di evitare interventi non appropriati e disomogenei si chiede di non attivarsi in maniera autonoma. Tutte le associazioni e i professionisti interessati, possono manifestare la propria disponibilità al seguente indirizzo mail cittadeibambini@comune.rieti.it indicando il proprio nome, tipologia delle attività svolte, profili professionali, recapiti telefonici e mail, nominativo referente.rivolgersi a 0746 287874 oppure 3356605125.        ", cittadeibambini@comune.rieti.it ,varie,vari,comune di Rieti,"
http://www.comune.rieti.it/article/16/08/costituzione-coordinamento-iniziative-sostegno-dei-bambini",,,20160826
