Approvato,Descrizione,Comune,Indirizzo,Data,Ora,Fonte,Link,Note,Id,Chiuso
,"Si consiglia di non andare ai Laghi di Pilato o sulle Creste meridionali dei Sibillini finché non si calmano le scosse di assestamento! 
ELENCO ZONE A PIU' ALTO RISCHIO:
- TUTTA LA VALLE DEL LAGO DI PILATO;
- CRESTE DEL VETTORE E DEL REDENTORE;
- TUTTA LA VALLE DI FOCE DI MONTEMONACO;
- CRESTE DEL MONTE SIBILLA;
- GOLE DELL'INFERNACCIO;
- MONTE PRIORA;
- GOLE DELL'ACQUASANTA DI BOLOGNOLA;
- GOLE DEL FIASTRONE;
- STRADA DEL FARGNO IN PARTICOLAR MODO VERSO BOLOGNOLA;
- STRADA DEL MONTE SIBILLA.",,,28/08/2016,21:14,Il Camoscio dei Sibillini,https://www.facebook.com/camoscio.sibillini/posts/1760182184223501,,201608282114,
,"alto rischio di #smottamenti improvvisi per le scosse di terremoto nella zona dei Sibillini, e il Corpo nazionale del Soccorso Alpino ''sconsiglia di programmare escursioni, ascensioni e attività di canyonig''. Particolarmente pericolosa la zona delle 'Svolte' a Foce di Montemonaco, impraticabile per ''grandi massi in bilico e frane che hanno reso irriconoscibile il sentiero''. ''Insicuro anche il tratto Foce-Svolte'', mentre il sindaco di Montemonaco ha chiuso con un'ordinanza l'area dell'Infernaccio.",#AscoliPiceno,,28/08/2016,17:20,Ansa.it Lazio,http://www.ansa.it/lazio/notizie/2016/08/28/soccorso-alpinono-escursioni-sibillini_e43a9ab0-6534-4219-adad-ea3abfee1a64.html,,201608281720,
,la situazione: informazioni utili ad abitanti e notizie circa raccolte beni e donazioni.,#Tolentino,,29/08/2016,,Comune di Tolentino,http://www.comune.tolentino.mc.it/comunicati-cms/terremoto-la-situazione-di-tolentino/,,201608290000,
,"Una task force è partita per ricostruire qualche ponte radio (uhf, vhf e #wifi) e ridare connettività via satellite in modo da contenere una parte dei danni relativi alla connettività fatti dal terremoto. Sul sito linkato il racconto dei lavori in corso ed eventuali opportunità di coordinamento e collaborazione.",#Amatrice,,29/08/2016,17:00,giuseppe augiero,https://www.augiero.it/index.php/terremoto-amatrice-connettivita/,,201608291700,
,#Funerali: Le salme saranno trasferite di nuovo dal Ciuffelli ad Amatrice per i funerali,#Amatrice,,29/08/2016,16:57,Rieti Life,http://www.rietilife.com/2016/08/29/flash-16-57-le-salme-saranno-trasferite-ad-amatrice-per-i-funerali/,,201608291657,
,"Terremoto, tra Amatrice e Accumoli attivato il presidio di #assistenza socio-sanitaria / Attivo h24",#Amatrice,km 129 della  via Salaria (uscita Santa Giusta Bagnolo),29/08/2016,17:19,Rieti Life,http://www.rietilife.com/2016/08/29/terremoto-tra-amatrice-e-accumoli-attivato-il-presidio-di-assistenza-socio-sanitaria-attivo-h24/,,201608291719,
,"#Sciacallaggio: segnalati da persone di Capricchia (RI) sciacalli nella frazione di Preta, Amatrice (RI)",#Rieti,Frazione di Preta (Amatrice),29/08/2016,20:00,Gruppo FB,http://www.iltabloid.it/blog/2016/08/29/preta-massimo-sforzo-dei-carabinieri-arrestate-due-persone-sciacallaggio/,Segnalato da Martina Cocco (gruppo FB),201608292000,
,disponibilità free #wifi vicino al campo base dei vigili del fuoco e vari bar in cui prende molto bene ,#Cittareale,,30/08/2016,10:00,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1761661924101391/,segnalato da Christina Quintili (gruppo FB),201608301000,
,"#viabilità #bollettino i percorsi per raggiungere l'area retrostante l'Istituto Don Minozzi ove si terranno, oggi 30 agosto alle ore 18.00, i funerali delle vittime:
1. - Autovetture private e autobus
SS. 4 SALARIA per ASCOLI PICENO, svincolo per CASALE NIBBI e proseguire fino a PONTE A TRE OCCHI detto dello Scoiattolo dove è stata allestita un'area di parcheggio.
Dall'area di parcheggio si giunge al luogo della cerimonia attraverso un servizio di navette a partire dalle ore 10,00 (al luogo di partenza delle navette si accede tramite una passerella pedonale).
2.- Veicoli di servizio ed autovetture Autorità e Organi di Informazione SS. 4 SALARIA per ASCOLI PICENO, svincolo per BORBONA e proseguire su S.R. 471 per MONTEREALE poi per ARINGO e S.P. 2 BIVIO ARINGO per POGGIO CANCELLI ed infine S.R. 577 da POGGIO CANCELLI ad AMATRICE
Per le vetture delle Autorità è riservata un'area di sosta nei pressi del ristorante ""La Campagnola"" antistante l'elisuperfice. Per gli Organi di Informazione è riservata un'area lungo il lato opposto al Campo Sportivo. In località San Cipriano sono state allestite due aree di parcheggio da dove partiranno ulteriori navette.
",#Amatrice,,30/08/2016,14:02,Prefettura Rieti,http://www.prefettura.it/Rieti/news/2815699.htm#News_61216,,201608301402,
,Sindaco di Lungro devolve indennità a popolazioni colpite dal #sisma - invito di solidarietà a tutte le amministrazioni,#Lungro,,30/08/2016,18:01,Gruppo FB,http://www.anci.it/index.cfm?layout=dettaglio&IdDett=57107&utm_source=twitterfeed&utm_medium=facebook,,201608301801,
,#terremotoitaliacentrale dati popolazione assistita,#CentroItalia,,30/08/2016,18:06,Gruppo FB,http://www.protezionecivile.gov.it/jcms/it/view_com.wp?contentId=COM58937,,201608301806,
,Cercasi container per sistemare mobili di una casa da svuotare,#ColleverricodiMontereale,,30/08/2016,19:35,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1761908900743360/,,201608301935,
,Stiamo cercando un camper o una roulotte per una famiglia ,#Preta,,30/08/2016,19:37,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1761875654080018/,,201608301937,
,"La tenso struttura non si può montare dove credevamo, nonostante ce l'abbiamo spianato i vigili del fuoco, perché ha un dislivello di 40cm, e dovremmo tirar via quintali di terra.. insomma è infattibile. Quindi domani dopo ulteriori spianamenti la costruiremo al posto dell'altra. Nonostante sia prevista pioggia dalle 5, tocca comunque farlo domani perché la sera gli operai se ne vanno. Quindi: a partire da ora e per tutta la notte sposteremo completamente il magazzino, con tutto il suo contenuto, sperando di farcela entro le 5 di domattina. Siamo pochi qui, se *per caso* qualcuno soffrisse di insonnia qui stanotte c'è da fa. O comunque chi può venire domani salga presto e munito di kway!","Amatrice, arrivando da Campotosto",,30/08/2016,21,Telegram - Scossa Solidale,,,201608300000,
,Inizieranno a servire stivali e galosce. Chi è collegato a centri di raccolta lo tenga presente. Ne avranno bisogno in tutti i campi.,Campi sfollati,,31/08/2016,13,Gruppo FB,https://facebook.com/1758670357733881_1762265014041082,,201608310000,
,"PRESIDIO ASSISTENZA SOCIO SANITARIA SALARIA - cell 246 0078081 - aperto 7 giorni su 7 h 24.  Orari e navette del PASS - posto assistenza sociosanitaria Salaria. Area Torrita km 129 SS4 Salaria, fronte Casa Cantoniera Salaria Vecchia, lato Posto Comando Avanzato.  Attività presenti: Medicina di base e ambulatorio infermieristico 9-13/14-19. Servizio di psicologia - Assistenza sociale. Pediatra di Libera Scelta dal lunedì al venerdì 16 – 18. Continuità assistenziale (Guardia Medica Regionale). Fanno riferimento a questo PASS i campi dislocati nelle frazioni Saletta – Scai – Sommati – Sant’Angelo – Cornillo Vecchio – Poggio Vitellino – Accumoli – Illica. NAVETTA Servizio navetta dai campi al presidio. Orari partenze dal capolinea: 8 -10-14,30-16. Navetta Uno: Sant’Angelo (capolinea), Saletta, Illica, Accumoli, Presidio socio sanitario e ritorno. Navetta Due: Sant’Angelo (capolinea), Sommati, Poggio Vitellino, Scai, Presidio socio sanitario e ritorno. Il servizio navetta è garantito anche alle persone con disabilità. ",#Saletta #SAngelo #Illica #Accumoli #Sommati #PoggioVitellino #Scai,"Nuova Salaria, km 129 - uscita San Giusta Bagnolo",31/08/2016,14:15,Gruppo FB,https://www.facebook.com/photo.php?fbid=10154053583168740&set=gm.1762280287372888&type=3&theater,,201608311415,
,"Giacomo Bartalesi ha bisogno di sapere dove si possa trovare da comprare un cavo di rete di 5/10 metri vicino ad Amatrice per un campo. LAT. 42.609623, LON. 13.334697 ",#Amatrice,Amatrice,31/08/2016,15:30,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1762309090703341/,,201608311530,Chiuso
,Gli stivali di gomma sono raccolti a S.Benedetto del Tronto c/o Protezione Civile lato sud Palasport.,#SBenedettodelTronto,"San Benedetto del Tronto, sede Protezione civile, lato sud Palasport",31/08/2016,18:50,Gruppo FB,https://www.facebook.com/cittasbt/posts/1091173454296184,,201608311850,
,Occorrono 4/5 brandine per dormire siamo a Retrosi nella struttura interna giardini pubblici di Retrosi,#Retrosi,Retrosi,31/08/2016,19:50,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1762431960691054/,,201608311950,
,Roulotte per le famiglie di Roccapassa (frazione Amatrice). La notte fa davvero freddo. ,#Roccapassa,,31/08/2016,22:35,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1762488767352040/,,201608312235,
,Salta di continuo connessione Tim al campo regione Toscana.,#CornilloNuovo,,01/09/2016,13:22,Telegram,,,201609011322,
,"***aggiornamenti*** vittime, ricerca dispersi, disponibilità nei campi, sequenza scosse, nomina Commissario Straordinario ",,,01/09/2016,14:00,gruppo fb,https://www.facebook.com/groups/1758670357733881/permalink/1762771830657067/,,201609011400,
,Dona dall’estero per sostenere le persone colpite dal #terremoto con @CroceRossa,,,01/09/2016,17:20,Twitter,https://twitter.com/ItalyMFA/status/769155609547735040,,201609011720,
,"Enel ha sospeso termini di pagamento di fatture energia e gas dal 24 agosto ad Accumoli e Amatrice. Enel Energia, Enel Servizio Elettrico ed Enel Sole hanno anche sospeso le azioni di recupero crediti. Call center Enel Energia (800.900.860) o Enel Servizio Elettrico (800.900.800).",#Amatrice #Accumoli,,01/09/2016,18:23,"Corriere di Rieti, 1 settembre 2016",,,201609011823,
,"Ad Amatrice sportello mobile Confcommercio imprese per pratiche necessarie a tamponare l'emergenza. Si tratta di quelle fiscali, previdenziali, del lavoro, del credito ed edilizie. Lo sportello sarà attivo dal lunedì al venerdì dalle ore 10 alle ore 17 (recapito telefonico 331/7246923). Le imprese operative nel comune di Accumoli verranno raggiunte direttamente dagli incaricati di Confcommercio .",#Amatrice #Accumoli,,01/09/2016,18:28,Giornale di Rieti,http://www.ilgiornaledirieti.it/leggi_articolo_f2.asp?id_news=43824,,201609011828,
,"In funzione uffici postali delle tendopoli sisma. Orari di Amatrice e Accumoli dal lunedì a sabato. Amatrice aperto dalle 8.20 alle 13.35 (il sabato fino alle 12.35), Accumoli dalle 8.20 alle 13.45 (il sabato fino alle 12.45). ",#Amatrice #Accumoli,,01/09/2016,18:39,"Il Messaggero Rieti, 1 settembre 2016",,,201609011839,
,"Non allontanare animali: prima passare al presidio veterinario nel campo sotto Pescara del Tronto. Il presidio è stato istituito dalla Regione Marche. I cani su territorio marchigiano saranno chippati e tenuti per 60 giorni prima di essere dati in adozione. I gatti, invece, vengono chippati e schedati. ",#PescaradelTronto #Arquata,,01/09/2016,18:47,"Resto del Carlino Ascoli, 1 settembre 2016",,,201609011847,
,Stop invio #farmaci nelle zone terremotate. Lo chiede Società Farmacisti Ospedalieri,,,01/09/2016,20:25,,http://www.pgcesvol.net/terremoto-comunicato-stampa-della-societa-italiana-farmacisti-ospedalieri/,,201609012025,
,Centro Servizi Volontariato Perugia torna operativo a #Norcia e a disposizione delle associazioni: 349 7929843 valnerina@pgcesvol.net,#Norcia,,01/09/2016,22:35,Twitter,https://t.co/2vIuytrvDh,,201609012235,
,"Approvato decreto Ministero Economia e Finanze per sospensione versamenti e adempimenti tributari per  residenti o operatori nei comuni
colpiti dal terremoto ",,,01/09/2016,22:50,MEF,http://www.mef.gov.it/ufficio-stampa/comunicati/2016/comunicato_0153.html,,201609012250,
,"Camper Cgil Cisl Uil di consulenza previdenziale e fiscale al campo di protezione civile di Amatrice. Orari dalle ore 10 alle ore 18 ininterrottamente, dal lunedì al sabato compresi.",#Amatrice,Campo Protezione civ,02/09/2016,10:17,Giornale di Rieti,http://www.ilgiornaledirieti.it/leggi_articolo_f2.asp?id_news=43833,,201609021017,
,"Orari e navette del PASS - posto assistenza sociosanitaria Salaria. Area Torrita km 129 SS4 Salaria, fronte Casa Cantoniera Salaria Vecchia, lato Posto Comando Avanzato. Aperto 7 giorni su 7, 24h. Cellulare 3460078081.  Attività presenti: Medicina di base e ambulatorio infermieristico 9-13/14-19. Servizio di psicologia - Assistenza sociale. Pediatra di Libera Scelta dal lunedì al venerdì 16 – 18. Continuità assistenziale (Guardia Medica Regionale). Fanno riferimento a questo PASS i campi dislocati nelle frazioni Saletta – Scai – Sommati – Sant’Angelo – Cornillo Vecchio – Poggio Vitellino – Accumoli – Illica. NAVETTA Servizio navetta dai campi al presidio. Orari partenze dal capolinea: 8 -10-14,30-16. Navetta Uno: Sant’Angelo (capolinea), Saletta, Illica, Accumoli, Presidio socio sanitario e ritorno. Navetta Due: Sant’Angelo (capolinea), Sommati, Poggio Vitellino, Scai, Presidio socio sanitario e ritorno. Il servizio navetta è garantito anche alle persone con disabilità.",#Amatrice #Accumoli,km 129 SS4 Salaria,02/09/2016,13:16,gruppo Fb,https://www.facebook.com/photo.php?fbid=1382989388382011&set=gm.1763184480615802&type=3&permPage=1,,201609021316,
,"Ricerca di volontari per aiutare produttore di fragole della zona terremotata, servirebbero 4/5 ragazzi volenterosi che, a titolo gratuito, lo aiutino nel raccolto per un arco di tempo di una settimana. A partire da domenica o lunedì. Ovviamente lui sarebbe disposto a prendere e riportare i ragazzi da Rieti o dove preferiscono (poi si pattuisce) e pagare loro pranzo. Per info: 392 9545050",#Rieti ,,02/09/2016,13:30,gruppo Fb,https://www.facebook.com/groups/1758670357733881/permalink/1763187980615452/,"Nome produttore Antonio, cell. 392 9545050",201609021330,
,Riunione Confartigianato alla tendopoli di Accumoli alle 15.,#Accumoli,Tendopoli Accumoli,02/09/2016,14:35,gruppo Fb,https://m.facebook.com/groups/1758670357733881?view=permalink&id=1763214643946119,,201609021435,
,"Ricerca di volontari per smistamento dei beni presenti nei magazzini.
Per INFO
A.S.M. Rieti SpA
Via donatori di sangue n.7
02100 Rieti (RI)
Tel 0746.25641
Email info@asmrieti.it
PEC segreteria.asmrieti@pcert.postecert.it
",#Rieti ,"Sede Asm, Via Donatori",02/09/2016,15:38,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1763245160609734/?comment_id=1763245907276326&reply_comment_id=1763246450609605&notif_t=group_comment&notif_id=1472825008568523,https://www.facebook.com/permalink.php?story_fbid=1306022136075620&id=1170673572943811,201609021538,
,Dalle 20:00 di oggi riaprirà la #SS685 ,#Perugia #AscoliPiceno,,02/09/2016,17:14,gruppo FB,http://www.stradeanas.it/news/dettaglio/id/6791,,201609021714,
,POSTO ASSISTENZA SOCIO SANITARIA - AMATRICE Area Open Don Minozzi - Cell 3385770435 - Aperto 7 giorni su 7 h24. Servizio navetta garantito: vedere il link in allegato.,#Amatrice #Rieti,,02/09/2016,19:25,gruppo FB,https://www.facebook.com/photo.php?fbid=10154570328832728&set=gm.1763308670603383&type=3,,201609021925,
,Alla Casa del Volontariato di Rieti attivata rete di associazioni per coordinare gli aiuti,#Rieti,,02/09/2016,21:53,Facebook,https://www.facebook.com/media/set/?set=a.10210426780974530.1073741855.1493886011&type=3,,201609022153,
,Università dell'Aquila attiva servizio per studenti residenti nel cratere sismico,#,,02/09/2016,21:58,Facebook,https://servizi.linfcop.univaq.it/sisma/,,201609022158,
,"Riapre Ponte Tre Occhi, realizzato bypass",#Amatrice,,02/09/2016,22:18,RietiLife,http://www.rietilife.com/2016/09/02/aamtrice-domani-riapre-il-ponte-tre-occhi-realizzato-il-bypass/,,201609022218,
,Imprenditore di Perugia offre 2-3 posti di lavoro a terremotati,,,02/09/2016,22:16,RietiLife,http://www.rietilife.com/2016/09/02/posti-di-lavoro-per-le-persone-colpite-dal-terremoto-liniziativa-di-un-imprenditore-perugino/,,201609022216,
,Attivo gruppo Facebook per agevolare vendita prodotti luoghi terremotati,,,02/09/2016,22:35,Facebook,https://www.facebook.com/groups/1446533295373900/,,201609022235,
,Mappa dei campi e delle tende nella regione Lazio,,,02/09/2016,23:35,Twitter,https://www.google.com/maps/d/viewer?mid=1-wdTR-Z51PvWTFMYVL7kHSbL9Wk,,201609022335,
,Primo rapporto di sintesi di Ingv su terremoto 24 agosto,,,02/09/2016,23:45,Twitter,https://ingvterremoti.files.wordpress.com/2016/08/20160829_rapportopreliminare_finale.pdf,,201609022345,
, #caciottesolidali e un Iban per aiutare gli agricoltori delle zone terremotate http://terremotocentroitalia.info/fondi/#coldiretti,,,03/09/2016,15:18,gruppo FB,http://www.agi.it/economia/2016/09/02/news/terremoto_arrivano_le_prime_caciotte_solidali_salva_mucche-1048380/,,201609031518,
,"#Viabilità Aperto questa mattina il bypass di Ponte a Tre Occhi sulla SR260
",Amatrice,#SR260,03/09/2016,16:15,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1763653170568933/,,201609031615,
,#lavoro Alcune aziende italiane offrono una postazione di lavoro con collegamento ad internet a persone colpite dal terremto a titolo gratuito per i prossimi 6 mesi. Al momento le postazioni sono circa 35 e sono dislocate in uffici da Milano a Messina. ,,,03/09/2016,17:22,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1763711110563139/,,201609031722,
,"#Asta benefica 5 shikishi dedicati ""VICINO AGLI AMICI ITALIANI"" che saranno esposti il 24/25 settembre in occasione del Lama Comics & Games a Castel di Lama (AP) all'interno di una mostra a lui dedicata. Gli shikishi saranno a breve messi all'asta e l'intero ricavato devoluto alla popolazione terremotata.
info@leijimatsumoto.it",Castel di Lama,,03/09/2016,18:26,gruppo FB,https://www.facebook.com/leijimatsumoto.it/posts/686386588179622,,201609031826,
,"Mostra itinerante sull'artista Cola dell'Amatrice che a partire da dicembre si svolgerà in quattro città: Milano (Museo Bagatti Valsecchi), Mantova (Palazzo Te), L'Aquila (Basilica di San Bernardino) e Ascoli Piceno (Pinacoteca Civica).

","#Milano, #Mantova, #LAquila, #Ascoli Piceno",,04/09/2016,9:15,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1763829820551268/,,20160904915,
,"Giovedì scorso, i volontari del COC di Priverno hanno portato ad Accumoli cinque lavatrici, acquistate grazie alle donazioni. Il ""Centro Operativo Circe"" ha allestito una vera e propria lavanderia nel campo di accoglienza di Accumoli.",#Accumoli,,04/09/2016,10:00,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1764065630527687/,,201609041000,
,"La Libreria Mondadori di Avezzano si impegna a realizzare un angolo di #Libroterapia nelle tendopoli dei paesi colpiti dal sisma il 24/08/2016.
Chiunque volesse partecipare, può lasciare sospeso un libro presso di noi, partecipando così alla realizzazione di tale progetto.",,,04/09/2016,11:00,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1764097343857849/,,201609041100,
,RICERCA #FURGONE per trasporto di reti e materassi matrimoniali da l'Aquila a Cittareale per info e disponibilità contattate 3478702017,#LAquila #Cittareale,,04/09/2016,12:58,Chat FB,https://www.facebook.com/groups/1758670357733881/permalink/1764128463854737/,,201609041258,CHIUSO
,Lunedì 5/09 sindaco Accumoli incontra popolazione per spiegare assistenza alloggiativa in albergo o contributo affitto,#Accumoli,,04/09/2016,15:00,Facebook,https://m.facebook.com/groups/1758670357733881?view=permalink&id=1764153320518918?,,201609041500,
,"Bimbi e post sisma, da domani sportello  psicologico Umberto I Roma via Sabelli dal lunedì al venerdì tel. 0649972969.",#Roma,,04/09/2016,16:39,"La Repubblica Roma, 4 settembre 2016",,,201609041639,
,"È 3384996173 il numero del Comune di Amatrice per segnalare seconde case disponibili per chi è senza. Il sindaco Sergio Pirozzi lo ha mostrato nel corso del Tg1 delle 20 del 4 settembre 2016 facendo riferimento all'iniziativa Amatrice Solidale, evidenziando che sarebbe bello fossero messe a disposizione gratuitamente, in ogni caso potrebbero beneficiare dei contributi. Saranno equiparate alle prime per le verifiche di agibilità.",#Amatrice,,04/09/2016,22:23,"Tg1, ore 20, 4 settembre 2016",http://www.rai.tv/dl/RaiTV/programmi/media/ContentItem-ccaf8d0b-f263-44cf-837a-144ea2c6137d-tg1.html,,201609042223,
,Emessa l’ordinanza di divieto di utilizzo acqua per usi potabili e umani fino al ripristino della relativa utilizzabilità.,#Amatrice,,04/09/2016,22:31,gruppo FB,https://www.facebook.com/ComunediAmatrice/posts/1098147373597930,,201609042231,
,Brigate Solidarietà Attiva - Chiamata #volontari ,#Amatrice #Acquasanta,,05/09/2016,10:30,gruppo Fb,https://www.facebook.com/terremotocentroitalia/about/?entry_point=page_nav_about_item&tab=page_info,,201609051030,
,Richieste di #agibilità: moduli e mail per la richiesta richiesta.agibilita@comune.amatrice.rieti.it,#Amatrice,,05/09/2016,20:37,gruppo Fb,http://www.comune.amatrice.rieti.it/richieste-di-agibilita/,,201609052037,
,Protezione civile #agibilità indicazioni operative censimento danni e verifiche,,,06/09/2016,07:58,Gruppo fb,http://www.protezionecivile.gov.it/jcms/it/view_new.wp?contentId=NEW59033,,201609060758,
,Sportello mobile #Cna per offrire supporto alle imprese colpite dal sisma.,#Amatrice,,06/09/2016,22:00,Twitter,http://www.rietilife.com/2016/09/06/amatrice-la-cna-al-fianco-di-cittadini-e-imprese-con-una-postazione-mobile/,,201609062200,
,Consorzio Pecorino Amatriciano cerca punti vendita per commercializzare prodotti di caseifici colpiti dal sisma,,,06/09/2016,22:41,Twitter,https://postribu.net/2016/09/05/sos-pecorino-di-amatrice-acquisto-solidale/,,201609062241,
,"Su #Waze segnalati campi tende, punti assistenza sanitaria e centri raccolta",,,06/09/2016,23:18,Twitter,http://www.wazeitalia.it/home/events/?p=84,,201609062318,
,Panettieri di Assipan Pisa devolvono incassi per panifici colpiti dal sisma,,,06/09/2016,23:55,Twitter,http://www.pisainformaflash.it/notizie/dettaglio.html?nId=28205,,201609062355,
,URGENTE Richiesta Protezione Civile di 20 container da 20 piedi ,#ArquatadelTronto,,07/09/2016,0:17,,http://www.arquatadeltronto.com/it/news/610-cercasi-container-per-stoccaggio-materiali.html,,201609070017,
,"SS4 Bloccata, causa frana Salaria chiusa verso #Ascoli.  La strada è bloccata ambedue le carreggiate da TRISUNGO ad ACQUASANTA TERME. Consigliano di passare per la SP89 e poi per Rocca Fluvione per riprendere la SS4",#Quintodecimo,,07/09/2016,1:01,gruppo fb,http://www.rietilife.com/2016/09/06/flash-frana-a-quintodecimo-salaria-bloccata-verso-ascoli/,,201609070101,
,Regione Marche: Farmacia Arquata farmaci gratis al presidio comunale in base necessità.,#Arquata,,07/09/2016,6:12,Twitter,https://twitter.com/regionemarcheit/status/771754904088113152,,20160907612,
,Pubblicato dal Comune di Amandola il rendiconto contributi ricostruzione ospedale https://goo.gl/FkXhA3,#Amandola,,07/09/2016,6:26,gruppo fb,https://www.facebook.com/amandolacomuneofficial/photos/a.1516699935218008.1073741828.1516489151905753/1793344660886866/?type=3,,20160907626,
,Sopralluoghi su edifici privati. Protezione civile: domande di verifica ai Coc e ai Comuni. Moduli e istruzioni.,,,07/09/2016,6:31,gruppo fb,http://www.protezionecivile.gov.it/jcms/it/view_new.wp?contentId=NEW59080,,20160907631,
,URGENTE: necessità riallestimento campi ,#Castelluccio di Norcia,,06/09/2016,,Gruppo fb,https://www.facebook.com/groups/1758670357733881/permalink/1764967433770840/,,201609060000,
,"#viabilità #SP89 #SS4: #ANAS sta lavorando alla frana di questa notte e cercherà di riaprire la strada appena possibile. La SP89 è chiusa nella frazione Pretare e non ci sono strade alternative in loco. Finché la SS4 Salaria non verrà riaperta almeno a senso unico alternato, per raggiungere Ascoli da Roma occorre passare per la SP64, Forca Canapine, poi la SP34 per Forca di Presta, e ridiscendere a prendere la SP89 verso Rocca Fluvione, poi proseguire sulla SP237 fino a Mozzano.",#Arquata del Tronto ,fraz. #Pretare,07/09/2016,11:26,Gruppo fb,https://www.facebook.com/groups/1758670357733881/permalink/1765490733718510/,,201609071126,
,Regione Lazio: contatti per offrire disponibilità seconde case vicino a zone terremotate: 3384996173,,,07/09/2016,11:35,Twitter,"https://twitter.com/RegioneLazio/status/773146123728986112
",,201609071135,
,SS4 Salaria riaperta a senso unico alternato nel tratto interrotto ieri per frana e pericolo caduta massi. I lavori di consolidamento continuano.,,Tra Quintodecimo e Acquasanta Terme (AP),07/09/2016,11:51,Waze,http://www.wazeitalia.it/home/events/?p=99,,201609071151,
