,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
29,1946-030,1946-030-01,1946-030-01-01,1946-030-01-01-01,1/6/1947,1,329 U.S. 433,67 S. Ct. 439,91 L. Ed. 402,1947 U.S. LEXIS 2797,1946,1301,Vinson,79,"STEELE v. GENERAL MILLS, INC.",11/18/1946,,245,,234,,1,117,51,0,120,51,25,,1,10,3,1,1,3,0,1,0,0,80110,8,2,0,6,,,,,78,87,1,9,0
30,1946-031,1946-031-01,1946-031-01-01,1946-031-01-01-01,1/6/1947,1,329 U.S. 441,67 S. Ct. 411,91 L. Ed. 408,1947 U.S. LEXIS 2883,1946,1301,Vinson,66,BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM ET AL. v. AGNEW ET AL.,12/10/1946,,354,,119,,1,54,,0,55,10,32,,1,12,3,1,1,3,0,1,0,0,80120,8,2,0,4,5,6,600,12 U.S.C. § 77,81,78,1,9,0
31,1946-032,1946-032-01,1946-032-01-01,1946-032-01-01-01,1/13/1947,1,329 U.S. 452,67 S. Ct. 401,91 L. Ed. 416,1947 U.S. LEXIS 2776,1946,1301,Vinson,88,"JESIONOWSKI, ADMINISTRATRIX, v. BOSTON & MAINE RAILROAD",12/16/1946,,145,,231,,1,,,0,80,26,21,,0,12,3,1,1,3,0,1,0,0,80040,8,2,0,4,,4,400,,78,87,1,6,3
32,1946-033,1946-033-01,1946-033-01-01,1946-033-01-01-01,1/13/1947,7,329 U.S. 459,67 S. Ct. 374,91 L. Ed. 422,1947 U.S. LEXIS 2777,1946,1301,Vinson,142,"LOUISIANA EX REL. FRANCIS v. RESWEBER, SHERIFF, ET AL.",11/18/1946,,126,,28,22,1,,,0,302,22,300,22,0,11,9,1,1,2,0,0,0,0,10130,1,1,0,2,,2,231,,79,87,1,5,4
34,1946-035,1946-035-01,1946-035-01-01,1946-035-01-01-01,1/13/1947,1,329 U.S. 495,67 S. Ct. 385,91 L. Ed. 451,1947 U.S. LEXIS 2966,1946,1301,Vinson,47,"HICKMAN, ADMINISTRATOR, v. TAYLOR ET AL., TRADING AS TAYLOR & ANDERSON TOWING & LIGHTERAGE CO., ET AL.",11/13/1946,,145,,116,,1,,,0,109,45,23,,0,3,3,1,1,2,0,0,0,0,50040,5,1,0,4,,4,400,,82,87,1,9,0
35,1946-036,1946-036-01,1946-036-01-01,1946-036-01-01-01,1/13/1947,1,329 U.S. 520,67 S. Ct. 405,91 L. Ed. 471,1947 U.S. LEXIS 2967,1946,1301,Vinson,63,ORDER OF RAILWAY CONDUCTORS OF AMERICA ET AL. v. SWAN ET AL.,12/10/1946,,249,,384,,1,84,,0,66,17,27,,0,10,2,2,1,2,0,0,0,0,90320,9,2,0,4,5,3,363,,82,87,1,8,1
36,1946-037,1946-037-01,1946-037-01-01,1946-037-01-01-01,1/20/1947,1,329 U.S. 531,67 S. Ct. 463,91 L. Ed. 479,1947 U.S. LEXIS 2747,1946,1301,Vinson,80,"PARKER ET AL. v. FLEMING, TEMPORARY CONTROLS ADMINISTRATOR",12/18/1946,,241,,389,,1,89,,0,10,,10,,0,10,9,1,1,3,0,1,0,0,90120,9,2,0,5,4,6,600,58 Stat. 632,78,87,1,6,3
37,1946-038,1946-038-01,1946-038-01-01,1946-038-01-01-01,1/20/1947,1,329 U.S. 539,67 S. Ct. 448,91 L. Ed. 485,1947 U.S. LEXIS 2748,1946,1301,Vinson,229,"PATTERSON, SECRETARY OF WAR, ET AL. v. LAMB",1/7/1947,,324,,142,,1,24,,0,55,10,32,,0,10,3,2,1,3,0,1,0,0,90120,9,1,0,5,,,,,78,87,1,9,0
39,1946-040,1946-040-01,1946-040-01-01,1946-040-01-01-01,1/20/1947,1,329 U.S. 565,67 S. Ct. 467,91 L. Ed. 504,1947 U.S. LEXIS 2963,1946,1301,Vinson,92,"GARDNER, TRUSTEE, v. NEW JERSEY",12/20/1946,,114,,28,35,1,,,0,92,35,23,,0,10,3,1,1,7,0,1,0,0,80030,8,2,0,1,,1,112,,81,87,1,9,0
40,1946-041,1946-041-01,1946-041-01-01,1946-041-01-01-01,1/20/1947,1,329 U.S. 585,67 S. Ct. 398,91 L. Ed. 521,1947 U.S. LEXIS 2863,1946,1301,Vinson,106,UNITED STATES v. THAYER-WEST POINT HOTEL CO.,12/20/1946,,27,,241,,1,24,,0,3,,3,,0,12,,2,1,3,0,1,0,0,80060,8,2,0,4,,6,600,28 U.S.C. § 284,82,87,1,9,0
41,1946-042,1946-042-01,1946-042-01-01,1946-042-01-01-01,2/3/1947,1,329 U.S. 591,67 S. Ct. 540,91 L. Ed. 527,1947 U.S. LEXIS 2901,1946,1301,Vinson,97,"KRUG, SECRETARY OF THE INTERIOR, ET AL. v. SANTA FE PACIFIC RAILROAD CO.",1/6/1947,,326,,231,,1,,,0,55,10,32,,0,10,3,1,1,3,0,1,0,0,80220,8,2,0,4,,6,600,49 U.S.C. § 65,78,87,1,9,0
42,1946-043,1946-043-01,1946-043-01-01,1946-043-01-01-01,2/3/1947,1,329 U.S. 599,67 S. Ct. 606,91 L. Ed. 532,1947 U.S. LEXIS 2861,1946,1301,Vinson,148,ALBRECHT ET AL. v. UNITED STATES,1/8/1947,,195,,27,,1,,,0,86,30,28,,0,3,3,2,1,2,0,0,0,0,40070,4,2,0,1,,2,211,,78,87,1,7,2
43,1946-044,1946-044-01,1946-044-01-01,1946-044-01-01-01,2/3/1947,1,329 U.S. 607,67 S. Ct. 583,91 L. Ed. 547,1947 U.S. LEXIS 2894,1946,1301,Vinson,690,INSURANCE GROUP COMMITTEE ET AL. v. DENVER & RIO GRANDE WESTERN RAILROAD CO. ET AL.,1/6/1947,,135,,138,,1,,,0,52,7,28,,0,10,1,1,1,8,0,1,0,0,80220,8,2,0,4,,3,307,,79,87,1,8,1
44,1946-045,1946-045-01,1946-045-01-01,1946-045-01-01-01,2/3/1947,1,329 U.S. 637,67 S. Ct. 610,91 L. Ed. 563,1947 U.S. LEXIS 3022,1946,1301,Vinson,208,TRANSPARENT-WRAP MACHINE CORP. v. STOKES & SMITH CO.,1/7/1947,,172,,177,,1,,,0,96,37,22,,1,3,3,2,1,4,0,1,0,0,80180,8,1,0,7,3,,,,81,87,1,5,4
46,1946-047,1946-047-01,1946-047-01-01,1946-047-01-01-01,2/3/1947,1,329 U.S. 654,67 S. Ct. 601,91 L. Ed. 577,1947 U.S. LEXIS 2862,1946,1301,Vinson,94,"UNITED STATES v. N. Y. RAYON IMPORTING CO., INC. (#2) ET AL.",1/8/1947,,27,,234,,1,60,,0,3,,3,,0,12,,2,1,3,0,1,0,0,80060,8,2,0,4,,6,600,28 U.S.C. § 177,82,87,1,9,0
47,1946-048,1946-048-01,1946-048-01-01,1946-048-01-01-01,2/3/1947,6,329 U.S. 663,67 S. Ct. 596,91 L. Ed. 584,1947 U.S. LEXIS 2695,1946,1301,Vinson,140,De MEERLEER v. MICHIGAN,1/6/1947,,100,,28,27,1,,,0,302,27,300,27,0,10,2,1,1,3,0,1,0,0,10120,1,2,0,2,,2,214,,,,1,9,0
48,1946-049,1946-049-01,1946-049-01-01,1946-049-01-01-01,2/10/1947,1,330 U.S. 1,67 S. Ct. 504,91 L. Ed. 711,1947 U.S. LEXIS 2959,1946,1301,Vinson,52,EVERSON v. BOARD OF EDUCATION OF THE TOWNSHIP OF EWING ET AL.,11/20/1946,,25,35,21,35,2,,,0,302,35,300,35,0,1,3,1,1,2,0,0,0,0,30170,3,1,0,2,,2,230,,78,87,1,5,4
49,1946-050,1946-050-01,1946-050-01-01,1946-050-01-01-01,2/10/1947,1,330 U.S. 75,67 S. Ct. 556,91 L. Ed. 754,1947 U.S. LEXIS 2960,1946,1301,Vinson,20,UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.,12/3/1945,10/17/1946,8,60,320,,2,20,,1,55,10,55,10,0,1,,1,1,2,0,0,0,0,90340,9,1,0,4,,4,403,,79,74,1,4,3
50,1946-051,1946-051-01,1946-051-01-01,1946-051-01-01-01,2/10/1947,1,330 U.S. 127,67 S. Ct. 544,91 L. Ed. 794,1947 U.S. LEXIS 2860,1946,1301,Vinson,84,OKLAHOMA v. UNITED STATES CIVIL SERVICE COMMISSION,10/17/1946,,28,42,320,,1,20,,0,106,42,30,,0,10,2,1,1,2,0,0,0,0,30010,3,1,0,1,,6,600,18 U.S.C. § 12,79,87,1,5,2
51,1946-052,1946-052-01,1946-052-01-01,1946-052-01-01-01,2/17/1947,1,330 U.S. 158,67 S. Ct. 644,91 L. Ed. 816,1947 U.S. LEXIS 2958,1946,1301,Vinson,335,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. NASHVILLE, CHATTANOOGA & ST. LOUIS RAILWAY",1/17/1947,,371,,151,,1,,,0,117,50,26,,1,10,2,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,,78,87,1,9,0
52,1946-053,1946-053-01,1946-053-01-01,1946-053-01-01-01,2/17/1947,1,330 U.S. 160,67 S. Ct. 645,91 L. Ed. 818,1947 U.S. LEXIS 2647,1946,1301,Vinson,190,BOZZA v. UNITED STATES,1/7/1947,,100,,27,,1,,,0,92,35,23,,0,12,6,1,1,6,0,0,0,0,10170,1,1,0,1,,2,206,,78,87,1,9,0
53,1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3
54,1946-055,1946-055-01,1946-055-01-01,1946-055-01-01-01,2/17/1947,1,330 U.S. 183,67 S. Ct. 657,91 L. Ed. 832,1947 U.S. LEXIS 2649,1946,1301,Vinson,31,ANGEL v. BULLINGTON,3/5/1946,11/18/1946,123,,233,,1,,,0,100,38,24,,0,10,2,2,1,3,0,1,1,0,90460,9,1,0,7,,5,506,,80,78,1,6,3
55,1946-056,1946-056-01,1946-056-01-01,1946-056-01-01-01,3/3/1947,1,330 U.S. 212,67 S. Ct. 752,91 L. Ed. 849,1947 U.S. LEXIS 2582,1946,1301,Vinson,184,CONE v. WEST VIRGINIA PULP & PAPER CO.,2/3/1947,,195,,243,,1,,,0,114,48,24,,0,11,3,2,1,3,0,1,0,0,90330,9,1,0,4,,4,400,,78,87,1,9,0
56,1946-057,1946-057-01,1946-057-01-01,1946-057-01-01-01,3/3/1947,1,330 U.S. 219,67 S. Ct. 756,91 L. Ed. 854,1947 U.S. LEXIS 2955,1946,1301,Vinson,38,NATIONAL LABOR RELATIONS BOARD v. DONNELLY GARMENT CO. ET AL.,10/16/1946,,382,,151,,1,82,,0,28,,28,,1,10,9,1,1,4,0,1,0,0,70070,7,2,0,5,1,2,207,,80,87,1,9,0
57,1946-058,1946-058-01,1946-058-01-01,1946-058-01-01-01,3/3/1947,1,330 U.S. 238,67 S. Ct. 742,91 L. Ed. 868,1947 U.S. LEXIS 2893,1946,1301,Vinson,56,"UNITED STATES v. POWELL ET AL., RECEIVERS",1/13/1947,,27,,231,,1,,,0,126,55,24,,0,10,2,1,1,2,0,0,0,0,80220,8,1,0,4,,6,600,49 U.S.C. § 65,81,79,1,8,1
58,1946-059,1946-059-01,1946-059-01-01,1946-059-01-01-01,3/3/1947,1,330 U.S. 248,67 S. Ct. 747,91 L. Ed. 876,1947 U.S. LEXIS 2859,1946,1301,Vinson,400,NORTHERN PACIFIC RAILWAY CO. v. UNITED STATES,1/13/1947,,231,,27,,1,,,0,133,58,27,,0,12,2,2,1,2,0,0,0,0,80220,8,2,0,4,,6,600,49 U.S.C. § 65,81,87,1,9,0
59,1946-060,1946-060-01,1946-060-01-01,1946-060-01-01-01,3/6/1947,1,330 U.S. 258,67 S. Ct. 677,91 L. Ed. 884,1947 U.S. LEXIS 2954,1946,1301,Vinson,759,UNITED STATES v. UNITED MINE WORKERS OF AMERICA,1/14/1947,,27,,249,,1,,,0,55,10,32,,0,13,,2,1,2,1,1,0,0,10080,1,1,0,4,,6,600,50 U.S.C. § 1501,87,87,1,5,4
60,1946-061,1946-061-01,1946-061-01-01,1946-061-01-01-01,3/10/1947,1,330 U.S. 386,67 S. Ct. 810,91 L. Ed. 967,1947 U.S. LEXIS 2950,1946,1301,Vinson,431,TESTA ET AL. v. KATT,2/14/1947,,123,,125,,1,,,0,302,47,301,47,0,3,4,1,1,4,0,1,0,0,100050,10,2,0,2,,1,148,,78,87,1,9,0
61,1946-062,1946-062-01,1946-062-01-01,1946-062-01-01-01,3/10/1947,1,330 U.S. 395,67 S. Ct. 775,91 L. Ed. 973,1947 U.S. LEXIS 2951,1946,1301,Vinson,6,UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA v. UNITED STATES,3/8/1945,10/15/1946,249,,27,,1,,,0,50,6,29,,0,3,2,2,1,4,0,1,0,0,70020,7,1,0,4,,3,367,,79,74,1,5,3
62,1946-063,1946-063-01,1946-063-01-01,1946-063-01-01-01,3/10/1947,1,330 U.S. 422,67 S. Ct. 815,91 L. Ed. 993,1947 U.S. LEXIS 2872,1946,1301,Vinson,29,"JOSEPH, COMPTROLLER, et al. v. CARTER & WEEKES STEVEDORING CO.",3/1/1946,11/12/1946,19,37,25,37,1,117,37,0,302,37,301,37,0,11,2,1,4,2,0,0,0,0,80100,8,1,0,2,,1,111,,79,74,1,5,4
65,1946-066,1946-066-01,1946-066-01-01,1946-066-01-01-01,3/10/1947,1,330 U.S. 469,67 S. Ct. 801,91 L. Ed. 1028,1947 U.S. LEXIS 2874,1946,1301,Vinson,265,"CARDILLO, DEPUTY COMMISSIONER, UNITED STATES EMPLOYEES' COMPENSATION COMMISSION, v. LIBERTY MUTUAL INSURANCE CO. ET AL.",1/10/1947,,331,,171,,1,31,,0,55,10,32,,1,4,3,1,1,3,0,1,0,0,80040,8,2,0,1,,1,143,,82,78,1,7,2
67,1946-068,1946-068-01,1946-068-01-01,1946-068-01-01-01,3/10/1947,1,330 U.S. 501,67 S. Ct. 839,91 L. Ed. 1055,1947 U.S. LEXIS 2551,1946,1301,Vinson,93,"GULF OIL CORP. v. GILBERT, DOING BUSINESS AS GILBERT STORAGE & TRANSFER CO.",12/18/1946,,198,,122,,1,,,0,96,,22,,1,12,3,1,1,3,0,1,0,0,90140,9,2,0,7,,,,,84,87,1,5,4
69,1946-070,1946-070-01,1946-070-01-01,1946-070-01-01-01,3/17/1947,1,330 U.S. 539,67 S. Ct. 891,91 L. Ed. 1082,1947 U.S. LEXIS 2526,1946,1301,Vinson,417,"UNITED STATES DEPARTMENT OF AGRICULTURE, EMERGENCY CROP AND FEED LOANS v. REMUND, ADMINISTRATOR",2/5/1947,,304,,102,,1,37,,0,302,49,300,49,0,10,2,1,1,3,0,1,0,0,120030,12,2,0,4,,6,600,31 U.S.C. § 191,82,87,1,8,1
70,1946-071,1946-071-01,1946-071-01-01,1946-071-01-01-01,3/31/1947,1,330 U.S. 545,67 S. Ct. 883,91 L. Ed. 1088,1947 U.S. LEXIS 2944,1946,1301,Vinson,564,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. GENERAL INDUSTRIES CO.",2/10/1947,,371,,151,,1,,,0,103,41,26,,0,4,2,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,,87,87,1,6,3
72,1946-073,1946-073-01,1946-073-01-01,1946-073-01-01-01,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/1947,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,3,343,,78,87,1,7,2
